"period";"value";"obs_status";"source";"ref_area";"freq";"unit_measure";"unit_mult"
"2022-01-01";56;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2022-02-01";33;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2022-03-01";13;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2022-04-01";32;"A";"Данные СберИндекса";"Республика Мордовия";"Месяц";"% г/г";"0"
"2019-01-01";1;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-02-01";11;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-03-01";13;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-04-01";25;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-05-01";15;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-06-01";7;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-07-01";7;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-08-01";0;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-09-01";20;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-10-01";15;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-11-01";12;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-12-01";17;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-01-01";8;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-02-01";13;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-03-01";14;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-04-01";-50;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-05-01";-48;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-06-01";-21;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-07-01";-18;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-08-01";4;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-09-01";-1;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-10-01";-22;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-11-01";-32;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2020-12-01";-31;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-01-01";-6;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-02-01";-7;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-03-01";9;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-04-01";132;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-05-01";145;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-06-01";61;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-07-01";37;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-08-01";16;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-09-01";18;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-10-01";47;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-11-01";94;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2021-12-01";86;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2022-01-01";56;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2022-02-01";24;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2022-03-01";11;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2022-04-01";23;"A";"Данные СберИндекса";"Архангельская область";"Месяц";"% г/г";"0"
"2019-01-01";42;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-02-01";35;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-03-01";27;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-04-01";22;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-05-01";17;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
